id,time,latitude,longitude,depth,magnitude,place,type,julian_date,moon_ra,moon_dec,moon_distance_au,sublunar_lat,sublunar_lon,angular_distance,dist_minus_2h,dist_rate_of_change,moon_ra_minus_6h,moon_ra_minus_12h,moon_altitude,distancia_real_km,A_norm,tau,sigma_n,delta_cfs
usp000be54,2002-10-10 10:50:20.570000+00:00,-1.757,134.297,10.0,7.6,"102 km SSE of Manokwari, Indonesia",earthquake,2452557.951626968,250.66425,-22.44671,0.00247354700321,-22.44671,69.21019910792904,66.36847965057962,0.00247035053198,1.598235614999957,243.2166,246.93301,22.75132007175521,367527.9567764592,0.9232097430919087,0.851376696419218,0.3570349430155637,0.9941906736254434
usp000c2ka,2003-07-15 20:27:50.530000+00:00,-2.598,68.382,10.0,7.6,Carlsberg Ridge,earthquake,2452836.352668172,323.5428,-19.76909,0.00253663946254,-19.76909,83.30807913615553,22.52572662132703,0.00253379533259,1.422064975000045,316.56603,320.08927,67.07876839624156,373603.2316781215,0.8789003694373656,0.3423011777378808,0.8095034052531203,0.6661025398391289
usp000cg90,2003-12-27 16:00:59.450000+00:00,-22.015,169.766,10.0,7.3,"201 km ESE of Tadine, New Caledonia",earthquake,2453001.1673547453,336.52282,-15.18267,0.00253487065556,-15.18267,0.5516464034459432,141.32915032555363,0.00253135643777,1.7571088950000222,329.93762,333.26611,-51.92409696176439,384210.87744036445,0.8080952454470497,0.49835626381762715,-0.6361281003287491,0.2439050236861275
usp000ckg7,2004-02-05 21:05:02.840000+00:00,-3.615,135.538,16.6,7.0,"28 km S of Nabire, Indonesia",earthquake,2453041.3785050926,134.50955,22.36115,0.00262415135673,22.36115,42.889932867343134,93.82042176536888,0.00262613890137,-0.993772319999968,127.86139,131.19742,-4.6873258185345446,393035.70811706356,0.7548757837641603,0.7523510924505196,-0.06168697270952053,0.7276763033667113
usp000ckks,2004-02-07 02:42:35.210000+00:00,-4.003,135.023,10.0,7.3,"Near the south coast of Papua, Indonesia",earthquake,2453042.612907524,150.47145,17.28947,0.00259472331725,17.28947,-26.749727251978328,157.73487818653211,0.00259668712598,-0.9819043650001468,144.08687,147.29289,-68.05126131018145,394063.59944922576,0.7489840337916649,0.2799529392941055,-0.6946966493768519,0.0020742795433646988
usp000d85g,2004-11-11 21:26:41.150000+00:00,-8.152,124.868,10.0,7.5,"63 km NW of Maubara, Timor Leste",earthquake,2453321.3935318287,217.57925,-15.59736,0.00245871433634,-15.59736,-155.4457817665858,77.94622086516134,0.00246095828302,-1.1219733399999396,210.84978,214.18249,11.026268758057729,366549.4795823737,0.9306228205185071,0.9134431499563183,0.17799001620231583,0.9846391564372445
usp000d8gx,2004-11-15 09:06:56.560000+00:00,4.695,-77.508,15.0,7.2,"32 km SSW of Pizarro, Colombia",earthquake,2453324.8798212963,271.72188,-27.95006,0.00242519077562,-27.95006,80.19628904491555,148.53251661967357,0.00242457613956,0.3073180299998593,263.37822,267.54357,-59.09173580062334,368247.1871857979,0.9178108872384934,0.4714473402632794,-0.7874733202415114,0.15645801216667482
usp000d975,2004-11-26 02:25:03.310000+00:00,-3.609,135.404,10.0,7.1,"29 km SSW of Nabire, Indonesia",earthquake,2453335.6007327545,52.99081,21.27569,0.00266781301111,21.27569,-48.62996139560545,161.9033755275423,0.00266630607663,0.7534672399999841,46.81143,49.88552,-72.18056602074583,405156.22025782766,0.6891344913616153,0.21088772224903465,-0.6560737121611002,-0.05154176261540547
usp000dvtc,2005-07-24 15:42:06.210000+00:00,7.92,92.19,16.0,7.2,"Nicobar Islands, India region",earthquake,2453576.1542385416,348.93924,-7.46725,0.0024352987048,-7.46725,170.95439440858888,80.01201967612678,0.0024327330411,1.2828318499999265,342.28626,345.63901,8.931405325912008,363272.4399891488,0.9560358255001233,0.9444438113092237,0.14842636867959064,1.00381435878106
usp000eamh,2006-02-22 22:19:07.800000+00:00,-21.324,33.583,11.0,7.0,"160 km SE of Chipinge, Zimbabwe",earthquake,2453789.429951389,263.40451,-28.44131,0.00251354639346,-28.44131,135.94384688544483,90.1236031542958,0.00251693196498,-1.6927857600000045,255.74093,259.54534,-1.1661808986259588,376104.47733819863,0.8614816063444124,0.8613031682392119,-0.017533124389134673,0.8542899184835581
