id,time,latitude,longitude,depth,magnitude,place,type,julian_date,moon_ra,moon_dec,moon_distance_au,sublunar_lat,sublunar_lon,angular_distance,dist_minus_2h,dist_rate_of_change,moon_ra_minus_6h,moon_ra_minus_12h
usp000h5np,2010-01-03 22:36:25.640000+00:00,-8.783,157.354,10.0,7.1,"94 km SE of Gizo, Solomon Islands",earthquake,2455200.441963426,148.3435,9.48022,0.00242256745545,9.48022,65.79457245480518,92.96218849723437,0.00242070928498,0.9290852349998213,141.39871,144.8966
usp000h60h,2010-01-12 21:53:10.060000+00:00,18.443,-72.571,13.0,7.0,"10 km SE of Léogâne, Haiti",earthquake,2455209.4119219906,265.93625,-25.60109,0.00268085289276,-25.60109,-174.63899732310068,108.39481284095964,0.00267945212946,0.7003816499999773,259.18857,262.56978
usp000he3f,2010-06-16 03:16:27.550000+00:00,-2.174,136.543,18.0,7.0,"121 km SSE of Biak, Indonesia",earthquake,2455363.6364299767,135.59497,13.94856,0.00244723164546,13.94856,-177.81340442190617,48.01995250474644,0.00244694950695,0.14106925499989853,128.52933,132.08449
usp000hr97,2010-12-21 17:19:40.660000+00:00,26.901,143.698,14.0,7.4,"Bonin Islands, Japan region",earthquake,2455552.22199838,94.79491,23.19489,0.00250750681585,23.19489,104.70325168740936,35.38483767842283,0.00250951080955,-1.0019968499999383,87.29703,91.04643
usp000hrw0,2010-12-25 13:16:37+00:00,-19.702,167.947,16.0,7.3,"141 km W of Isangel, Vanuatu",earthquake,2455556.053206018,149.27923,7.81393,0.00246283746931,7.81393,-143.8234792014047,54.86582162131896,0.00246284001358,-0.0012721349999886972,142.57942,145.94265
usp000ht15,2011-01-13 16:16:41.540000+00:00,-20.628,168.471,9.0,7.0,"118 km NNE of Tadine, New Caledonia",earthquake,2455575.178258565,32.44292,17.73018,0.00265740630683,17.73018,35.47068076503609,135.6634826941773,0.00265973951695,-1.1666050600000772,26.38258,29.39017
usp000j48h,2011-07-06 19:03:18.260000+00:00,-29.539,-176.34,17.0,7.6,Kermadec Islands region,earthquake,2455749.2939613424,172.95391,-2.66185,0.00247178821288,-2.66185,-37.28735409594918,129.31115311666215,0.00247204570151,-0.1287443149998891,166.43825,169.69352
usp000jdar,2012-01-10 18:36:59.080000+00:00,2.433,93.21,19.0,7.2,off the west coast of northern Sumatra,earthquake,2455937.2756837965,128.93748,14.30485,0.00255028319571,14.30485,99.99304409122772,13.630955654923769,0.00255212147202,-0.9191381550000769,122.30336,125.62866
usp000jhr6,2012-04-12 07:15:48.500000+00:00,28.696,-113.104,13.0,7.0,"69 km ENE of San Luis, Mexico",earthquake,2456029.802644676,278.63287,-20.42163,0.00249845878071,-20.42163,-31.215485822704807,92.95491481309703,0.00249546953407,1.4946233199998864,271.21217,274.94595
usc000f1se,2013-02-06 01:23:19.760000+00:00,-11.183,164.882,10.0,7.1,"112 km WSW of Lata, Solomon Islands",earthquake,2456329.5578675927,259.14785,-20.68768,0.00244961968339,-20.68768,101.9632167067436,60.900565625395885,0.00245049334737,-0.43683199000004064,251.44654,255.28993
usc000f1ts,2013-02-06 01:54:14.610000+00:00,-10.499,165.588,8.8,7.0,"33 km NW of Lata, Solomon Islands",earthquake,2456329.579335764,259.47965,-20.68659,0.00244940127177,-20.68659,94.54531446692464,68.7031404825293,0.00245026437578,-0.43155200500004204,251.77588,255.62073
usb000jyiv,2013-09-24 11:29:47.970000+00:00,26.951,65.5009,15.0,7.7,"113 km NW of Bela, Pakistan",earthquake,2456559.9790274305,60.1488,18.46196,0.00265762590278,18.46196,-115.76539217644444,134.57043015215928,0.00265546816322,1.0788697800000364,53.72104,56.93632
usb000kdb4,2013-10-15 00:12:32.050000+00:00,9.8796,124.1167,19.04,7.1,"4 km SE of Sagbayan, Philippines",earthquake,2456580.5087042823,331.90619,-6.40348,0.0024987420507,-6.40348,-54.92639282153039,176.39716439689693,0.00249765886252,0.5415940900000207,325.21883,328.57419
us20002926,2015-04-25 06:11:25.950000+00:00,28.2305,84.7314,8.22,7.8,"67 km NNE of Bharatpur, Nepal",earthquake,2457137.757939236,117.20255,15.96679,0.00264814506847,15.96679,171.39875364358068,79.66748728465419,0.00264560643196,1.2693182549999675,110.80372,114.02026
us20002das,2015-05-07 07:10:19.590000+00:00,-7.2175,154.5567,10.0,7.1,"143 km SW of Panguna, Papua New Guinea",earthquake,2457149.798837847,263.32318,-18.29779,0.00256926587786,-18.29779,-69.07198970660937,129.96641544950265,0.00257114180224,-0.9379621900001013,256.41714,259.86069
us20002ejl,2015-05-12 07:05:19.730000+00:00,27.8087,86.0655,15.0,7.3,Nepal,earthquake,2457154.7953672456,333.12655,-7.76557,0.00246931228251,-7.76557,-2.9440299010502144,92.74476612847504,0.00247057819217,-0.6329548299999818,326.247,329.69016
us20002yaw,2015-07-18 02:27:33.820000+00:00,-10.4012,165.1409,11.0,7.0,"80 km WNW of Lata, Solomon Islands",earthquake,2457221.6024747686,139.81253,11.90136,0.00266989753198,11.90136,167.3307780850788,22.408440360355478,0.00266828100754,0.8082622199999824,133.69244,136.76726
us10006d5h,2016-08-12 01:26:36.280000+00:00,-22.4765,173.1167,16.37,7.2,southeast of the Loyalty Islands,earthquake,2457612.5601421297,242.80352,-15.81564,0.00268455910018,-15.81564,-99.78097351650727,81.42300941823616,0.00268596834708,-0.7046234499999849,236.70693,239.74266
us20006uy6,2016-08-29 04:29:57.860000+00:00,-0.0456,-17.8255,10.0,7.1,north of Ascension Island,earthquake,2457629.6874752315,119.03272,16.96131,0.00255294273887,16.96131,73.726917285768,91.49818145848262,0.0025511449017,0.8989185849999932,112.05508,115.55746
us2000brlf,2017-11-19 22:43:29.250000+00:00,-21.3246,168.6715,10.0,7.0,"85 km ENE of Tadine, New Caledonia",earthquake,2458077.4468663195,252.85126,-17.94659,0.00270578237053,-17.94659,-147.16808155795724,41.59876726073858,0.00270498333274,0.39951889499998705,246.67987,249.7603
us1000c2zy,2018-01-10 02:51:33.290000+00:00,17.4825,-83.52,19.0,7.5,"203 km NNE of Barra Patuca, Honduras",earthquake,2458128.619135301,212.80712,-7.77159,0.0026431241542,-7.77159,60.33292713548824,143.49017594507325,0.00264051593606,1.3041090700001423,206.88013,209.8463
us1000i2gt,2018-12-05 04:18:08.420000+00:00,-21.9496,169.4266,10.0,7.5,"166 km ESE of Tadine, New Caledonia",earthquake,2458457.6792641203,226.50313,-12.43964,0.00258679245795,-12.43964,88.04751576359467,77.50904741221188,0.00258494682948,0.9228142349999423,220.16862,223.33047
us70003kyy,2019-05-14 12:58:25.939000+00:00,-4.051,152.5967,10.0,7.6,"48 km NE of Kokopo, Papua New Guinea",earthquake,2458618.040577997,178.41855,5.81189,0.00246778867112,5.81189,111.83110844300307,41.887439168832415,0.00246756136608,0.11365251999999153,171.71835,175.07782
us70004jyv,2019-07-14 09:10:51.523000+00:00,-0.5858,128.034,18.98,7.2,"155 km SSE of Sofifi, Indonesia",earthquake,2458678.8825407755,261.85945,-20.98502,0.00261384795562,-20.98502,-167.80367091772086,65.76018492679783,0.00261194038677,0.9537844250001506,255.11216,258.48129
us60007idc,2020-01-28 19:10:24.918000+00:00,19.4193,-78.756,14.86,7.7,"123 km NNW of Lucea, Jamaica",earthquake,2458877.2988995137,354.14937,-7.96674,0.00270580403608,-7.96674,-60.97139119981961,32.51053905151369,0.00270514840139,0.32781734500011117,348.54546,351.35908
us6000dg77,2021-02-10 13:19:55.530000+00:00,-23.0511,171.6566,10.0,7.7,southeast of the Loyalty Islands,earthquake,2459256.05550382,309.87736,-22.33899,0.00254704445213,-22.33899,-30.941658891982343,129.56330541039043,0.0025451847848,0.9298336650000877,302.65569,306.28948
us6000f65h,2021-08-14 12:29:08.454000+00:00,18.4335,-73.4822,10.0,7.2,"Nippes, Haiti",earthquake,2459441.020236736,215.49354,-11.4245,0.00248304365769,-11.4245,65.06046690925163,139.4237469920351,0.00248389016192,-0.42325211499993043,208.97796,212.21839
us6000gc2a,2021-12-14 03:20:23.809000+00:00,-7.6033,122.2274,14.27,7.3,Flores Sea,earthquake,2459562.639164456,26.378,7.73208,0.00267684563515,7.73208,-106.7424040552888,131.49622057213946,0.00267505867311,0.8934810199999477,20.866,23.62006
us7000gymk,2022-03-31 05:44:01.146000+00:00,-22.586,170.3744,10.0,7.0,southeast of the Loyalty Islands,earthquake,2459669.738902153,359.4843,-4.83733,0.00255658665431,-4.83733,84.89540047146647,83.97817895351898,0.0025546506151,0.9680196049999777,353.42574,356.47004
us7000irfb,2022-11-22 02:03:06.891000+00:00,-9.8198,159.6033,14.0,7.0,"18 km SW of Malango, Solomon Islands",earthquake,2459905.585496424,212.72899,-12.37707,0.00250085048458,-12.37707,120.90395719207515,38.03013993225663,0.00250375313673,-1.4513260750000871,206.3718,209.52259
us6000kd0n,2023-05-19 02:57:03.172000+00:00,-23.2063,170.7423,18.053,7.7,southeast of the Loyalty Islands,earthquake,2460083.6229533795,48.18702,19.5302,0.002572694483,19.5302,127.39479746041354,60.12013494218692,0.0025706244938,1.0349946000000332,41.68848,44.92245
us7000l9h4,2023-11-08 04:53:49.631000+00:00,-6.416,129.5466,6.0,7.1,Banda Sea,earthquake,2460256.704046655,168.48503,8.49859,0.00269729945743,8.49859,47.90147061454565,82.74452667082636,0.00269813131415,-0.4159283600001229,163.09526,165.79829
