id,time,latitude,longitude,depth,magnitude,place,type,julian_date,moon_ra,moon_dec,moon_distance_au,sublunar_lat,sublunar_lon,angular_distance
usp000he3f,2010-06-16 03:16:27.550000+00:00,-2.174,136.543,18.0,7.0,"121 km SSE of Biak, Indonesia",earthquake,2455363.6364299767,135.59497,13.94856,0.00244723164546,13.94856,-177.81340442190617,48.01995250474644
usp000hr97,2010-12-21 17:19:40.660000+00:00,26.901,143.698,14.0,7.4,"Bonin Islands, Japan region",earthquake,2455552.22199838,94.79491,23.19489,0.00250750681585,23.19489,104.70325168740936,35.38483767842283
usp000hrw0,2010-12-25 13:16:37+00:00,-19.702,167.947,16.0,7.3,"141 km W of Isangel, Vanuatu",earthquake,2455556.053206018,149.27923,7.81393,0.00246283746931,7.81393,-143.8234792014047,54.86582162131896
usp000ht15,2011-01-13 16:16:41.540000+00:00,-20.628,168.471,9.0,7.0,"118 km NNE of Tadine, New Caledonia",earthquake,2455575.178258565,32.44292,17.73018,0.00265740630683,17.73018,35.47068076503609,135.6634826941773
usp000j48h,2011-07-06 19:03:18.260000+00:00,-29.539,-176.34,17.0,7.6,Kermadec Islands region,earthquake,2455749.2939613424,172.95391,-2.66185,0.00247178821288,-2.66185,-37.28735409594918,129.31115311666215
usp000jdar,2012-01-10 18:36:59.080000+00:00,2.433,93.21,19.0,7.2,off the west coast of northern Sumatra,earthquake,2455937.2756837965,128.93748,14.30485,0.00255028319571,14.30485,99.99304409122772,13.630955654923769
usp000jhr6,2012-04-12 07:15:48.500000+00:00,28.696,-113.104,13.0,7.0,"69 km ENE of San Luis, Mexico",earthquake,2456029.802644676,278.63287,-20.42163,0.00249845878071,-20.42163,-31.215485822704807,92.95491481309703
usc000f1se,2013-02-06 01:23:19.760000+00:00,-11.183,164.882,10.0,7.1,"112 km WSW of Lata, Solomon Islands",earthquake,2456329.5578675927,259.14785,-20.68768,0.00244961968339,-20.68768,101.9632167067436,60.900565625395885
usc000f1ts,2013-02-06 01:54:14.610000+00:00,-10.499,165.588,8.8,7.0,"33 km NW of Lata, Solomon Islands",earthquake,2456329.579335764,259.47965,-20.68659,0.00244940127177,-20.68659,94.54531446692465,68.7031404825293
usb000jyiv,2013-09-24 11:29:47.970000+00:00,26.951,65.5009,15.0,7.7,"113 km NW of Bela, Pakistan",earthquake,2456559.9790274305,60.1488,18.46196,0.00265762590278,18.46196,-115.76539217644444,134.57043015215928
usb000kdb4,2013-10-15 00:12:32.050000+00:00,9.8796,124.1167,19.04,7.1,"4 km SE of Sagbayan, Philippines",earthquake,2456580.5087042823,331.90619,-6.40348,0.0024987420507,-6.40348,-54.926392821530385,176.39716439689693
us20002926,2015-04-25 06:11:25.950000+00:00,28.2305,84.7314,8.22,7.8,"67 km NNE of Bharatpur, Nepal",earthquake,2457137.757939236,117.20255,15.96679,0.00264814506847,15.96679,171.39875364358068,79.66748728465419
us20002das,2015-05-07 07:10:19.590000+00:00,-7.2175,154.5567,10.0,7.1,"143 km SW of Panguna, Papua New Guinea",earthquake,2457149.798837847,263.32318,-18.29779,0.00256926587786,-18.29779,-69.07198970660937,129.96641544950265
us20002ejl,2015-05-12 07:05:19.730000+00:00,27.8087,86.0655,15.0,7.3,Nepal,earthquake,2457154.7953672456,333.12655,-7.76557,0.00246931228251,-7.76557,-2.9440299010502144,92.74476612847505
us20002yaw,2015-07-18 02:27:33.820000+00:00,-10.4012,165.1409,11.0,7.0,"80 km WNW of Lata, Solomon Islands",earthquake,2457221.6024747686,139.81253,11.90136,0.00266989753198,11.90136,167.3307780850788,22.408440360355474
us10006d5h,2016-08-12 01:26:36.280000+00:00,-22.4765,173.1167,16.37,7.2,southeast of the Loyalty Islands,earthquake,2457612.5601421297,242.80352,-15.81564,0.00268455910018,-15.81564,-99.78097351650729,81.42300941823616
