,N,observado_pct,null_mean_pct,null_std_pct,exceso_pct,p_value
none,333.0,64.86486486486487,60.42432432432432,2.4028838980072837,4.44054054054055,0.035
gk_fixed,309.0,63.75404530744336,59.799352750809064,2.462898362119868,3.9546925566342983,0.054
gk_variable,288.0,63.19444444444444,59.41805555555554,2.575997266948615,3.776388888888904,0.08
